f,A
1864,-108.93
1865,-108.68
1866,-108.51
1867,-109.35
1868,-110.09
1869,-109.77
187,-38.162
1870,-109.33
1871,-109.51
1872,-110.55
1873,-108.57
1874,-110.03
1875,-108.79
1876,-109.88
1877,-109.97
1878,-109.34
1879,-109.2
188,-37.902
1880,-110.44
1881,-108.95
1882,-110.44
1883,-110
1884,-108.98
1885,-109.27
1886,-110.01
1887,-108.97
1888,-108.97
1889,-109.5
189,-39.426
1890,-109.45
1891,-110.62
1892,-108.44
1893,-108.77
1894,-110.18
1895,-109.05
1896,-109.86
1897,-108.83
1898,-109.32
1899,-110.65
19,-39.017
190,-40.493
1900,-108.62
1901,-108.7
1902,-110.06
1903,-108.61
1904,-110.32
1905,-108.43
1906,-109.03
1907,-109.23
1908,-109.27
1909,-110.67
191,-38.219
1910,-109.15
1911,-109.66
1912,-108.92
1913,-108.9
1914,-108.75
1915,-110.27
1916,-109.3
1917,-109.12
1918,-109.27
1919,-110.7
192,-37.821
1920,-110.45
1921,-108.43
1922,-110.05
1923,-109.53
1924,-109.07
1925,-108.51
1926,-109.48
1927,-109.4
1928,-109.18
1929,-108.43
193,-39.193
1930,-110.41
1931,-108.75
1932,-109.49
1933,-109.44
1934,-109.18
1935,-109.63
1936,-108.73
1937,-108.49
1938,-110.52
1939,-109.26
194,-40.73
1940,-109.07
1941,-110.22
1942,-108.84
1943,-110.59
1944,-108.86
1945,-109.15
1946,-110.56
1947,-109.82
1948,-109.2
1949,-110.35
195,-38.292
1950,-110.26
1951,-108.49
1952,-108.45
1953,-110.33
1954,-108.61
1955,-110.9
1956,-109.33
1957,-109.37
1958,-109.09
1959,-108.44
196,-37.758
1960,-108.89
1961,-109.73
1962,-108.43
1963,-110.41
1964,-109.12
1965,-109.86
1966,-109.48
1967,-109.96
1968,-110.67
1969,-108.67
197,-38.99
1970,-110.21
1971,-110.74
1972,-110.38
1973,-108.87
1974,-109.26
1975,-110.61
1976,-109.35
1977,-110.54
1978,-109.78
1979,-109.26
198,-41.006
1980,-108.3
1981,-109.88
1982,-110.34
1983,-109.45
1984,-110.64
1985,-110.15
1986,-109.03
1987,-110.22
1988,-109.47
1989,-108.57
199,-38.398
1990,-109.72
1991,-110.72
1992,-110.22
1993,-110.43
1994,-108.75
1995,-110.01
1996,-109.29
1997,-110.39
1998,-108.55
1999,-109.35
2,-40.9
20,-37.409
200,-37.733
201,-38.827
202,-41.33
203,-38.552
204,-37.756
205,-38.717
206,-41.704
207,-38.75
208,-37.822
209,-38.646
21,-37.592
210,-41.453
211,-38.988
212,-37.916
213,-38.6
214,-41.227
215,-39.235
216,-38.015
217,-38.556
218,-41.003
219,-39.476
22,-39.612
220,-38.1
221,-38.494
222,-40.76
223,-39.693
224,-38.16
225,-38.404
226,-40.501
227,-39.886
228,-38.197
229,-38.298
23,-39.221
230,-40.225
231,-40.079
232,-38.227
233,-38.19
234,-39.963
235,-40.277
236,-38.276
237,-38.107
238,-39.728
239,-40.522
24,-37.448
240,-38.36
241,-38.062
242,-39.545
243,-40.808
244,-38.495
245,-38.067
246,-39.41
247,-41.152
248,-38.672
249,-38.112
25,-37.488
250,-39.312
251,-41.533
252,-38.88
253,-38.183
254,-39.238
255,-41.937
256,-39.096
257,-38.253
258,-39.159
259,-42.076
26,-39.332
260,-39.301
261,-38.306
262,-39.061
263,-41.782
264,-39.477
265,-38.33
266,-38.938
267,-41.475
268,-39.637
269,-38.335
27,-39.399
270,-38.799
271,-41.154
272,-39.789
273,-38.339
274,-38.663
275,-40.858
276,-39.956
277,-38.363
278,-38.556
279,-40.592
28,-37.476
280,-40.17
281,-38.429
282,-38.492
283,-40.377
284,-40.428
285,-38.543
286,-38.478
287,-40.216
288,-40.739
289,-38.697
29,-37.366
290,-38.502
291,-40.089
292,-41.081
293,-38.878
294,-38.544
295,-39.985
296,-41.441
297,-39.062
298,-38.584
299,-39.865
3,-38.15
30,-39.053
300,-41.785
301,-39.228
302,-38.601
303,-39.73
304,-42.114
305,-39.365
306,-38.591
307,-39.565
308,-42.422
309,-39.486
31,-39.592
310,-38.564
311,-39.392
312,-42.211
313,-39.603
314,-38.541
315,-39.232
316,-41.878
317,-39.748
318,-38.544
319,-39.103
