P,f
-46.314,0.56027
-50.4,0.56076
-51.294,0.56125
-52.875,0.56174
-56.932,0.56223
-59.373,0.56271
-61.3,0.5632
-53.105,0.56369
-50.163,0.56418
-51.056,0.56467
-51.854,0.56515
-51.262,0.56564
-59.808,0.56613
-50.449,0.56662
-63.046,0.56711
-49.224,0.56759
-59.979,0.56808
-58.903,0.56857
-72.159,0.56906
-59.749,0.56955
-60.611,0.57003
-54.894,0.57052
-50.907,0.57101
-61.881,0.5715
-49.447,0.57199
-49.711,0.57247
-65.441,0.57296
-49.284,0.57345
-51.694,0.57394
-44.233,0.57443
-57.866,0.57491
-51.52,0.5754
-49.076,0.57589
-46.04,0.57638
-45.373,0.57687
-47.958,0.57735
-52.063,0.57784
-46.428,0.57833
-51.868,0.57882
-59.849,0.57931
-45.165,0.5798
-40.31,0.58028
-43.321,0.58077
-51.701,0.58126
-51.027,0.58175
-49.596,0.58224
-54.547,0.58272
-52.375,0.58321
-47.422,0.5837
-54.636,0.58419
-57.659,0.58468
-70.005,0.58516
-62.429,0.58565
-51.9,0.58614
-57.41,0.58663
-48.38,0.58712
-44.573,0.5876
-49.319,0.58809
-52.25,0.58858
-51.151,0.58907
-50.745,0.58956
-47.871,0.59004
-47.341,0.59053
-60.451,0.59102
-49.843,0.59151
-49.36,0.592
-57.076,0.59248
-50.741,0.59297
-47.612,0.59346
-47.559,0.59395
-54.029,0.59444
-59.404,0.59492
-58.793,0.59541
-58.311,0.5959
-49.689,0.59639
-47.64,0.59688
-55.177,0.59736
-56.314,0.59785
-49.163,0.59834
-46.308,0.59883
-44.341,0.59932
-37.414,0.5998
-43.736,0.60029
-55.304,0.60078
-49.97,0.60127
-48.374,0.60176
-52.339,0.60224
-59.103,0.60273
-48.01,0.60322
-47.11,0.60371
-48.64,0.6042
-57.647,0.60469
-44.779,0.60517
-43.644,0.60566
-50.696,0.60615
-47.341,0.60664
-53.831,0.60713
-45.192,0.60761
-48.526,0.6081
-49.051,0.60859
-51.086,0.60908
-51.667,0.60957
-53.506,0.61005
-53.569,0.61054
-52.146,0.61103
-53.153,0.61152
-51.533,0.61201
-49.074,0.61249
-56.11,0.61298
-46.058,0.61347
-47.296,0.61396
-56.962,0.61445
-54.398,0.61493
-48.707,0.61542
-47.703,0.61591
-54.034,0.6164
-55.206,0.61689
-51.864,0.61737
-44.118,0.61786
-42.379,0.61835
-51.735,0.61884
-60.919,0.61933
-54.42,0.61981
-51.993,0.6203
-47.979,0.62079
-50.184,0.62128
-45.976,0.62177
-49.063,0.62225
-57.724,0.62274
-59.43,0.62323
-63.158,0.62372
-49.229,0.62421
-46.178,0.62469
-47.347,0.62518
-49.397,0.62567
-49.294,0.62616
-50.539,0.62665
-45.27,0.62714
-49.141,0.62762
-49.931,0.62811
-54.678,0.6286
-71.274,0.62909
-69.84,0.62958
-46.535,0.63006
-46.967,0.63055
-59.054,0.63104
-56.186,0.63153
-56.766,0.63202
-63.909,0.6325
-56.524,0.63299
-54.39,0.63348
-50.694,0.63397
-50.272,0.63446
-55.586,0.63494
-49.829,0.63543
-46.029,0.63592
-50.779,0.63641
-55.434,0.6369
-53.363,0.63738
-53.525,0.63787
-58.717,0.63836
-50.345,0.63885
-41.817,0.63934
-40.91,0.63982
-58.238,0.64031
-52.416,0.6408
-61.626,0.64129
-48.774,0.64178
-46.492,0.64226
-45.043,0.64275
-45.802,0.64324
-49.198,0.64373
-61.318,0.64422
-59.209,0.6447
-59.791,0.64519
-56.875,0.64568
-63.287,0.64617
-51.21,0.64666
-55.377,0.64714
-52.997,0.64763
-49.527,0.64812
-47.374,0.64861
-52.381,0.6491
-48.081,0.64959
-54.282,0.65007
-56.137,0.65056
-53.873,0.65105
-49.98,0.65154
-46.679,0.65203
-50.579,0.65251
-49.683,0.653
-44.453,0.65349
-47.655,0.65398
-55.701,0.65447
-71.198,0.65495
-49.446,0.65544
-47.467,0.65593
-55.505,0.65642
-50.271,0.65691
-49.001,0.65739
-52.889,0.65788
-56.25,0.65837
-57.406,0.65886
-55.364,0.65935
-47.999,0.65983
-48.619,0.66032
-49.468,0.66081
-42.678,0.6613
-44.242,0.66179
-48.314,0.66227
-47.295,0.66276
-45.085,0.66325
-53.332,0.66374
-54.989,0.66423
-52.68,0.66471
-57.181,0.6652
-59.277,0.66569
-57.111,0.66618
-55.885,0.66667
-54.484,0.66715
-55.843,0.66764
-53.863,0.66813
-47.543,0.66862
-48.357,0.66911
-54.901,0.66959
-54.687,0.67008
-54.182,0.67057
-51.068,0.67106
-58.657,0.67155
-51.749,0.67204
-50.217,0.67252
-56.308,0.67301
-46.2,0.6735
-47.858,0.67399
-56.505,0.67448
-45.367,0.67496
-46.242,0.67545
-53.858,0.67594
-49.125,0.67643
-60.067,0.67692
-56.601,0.6774
-49.019,0.67789
-46.384,0.67838
-50.454,0.67887
-40.864,0.67936
-39.36,0.67984
-59.797,0.68033
-50.207,0.68082
-50.835,0.68131
-56.558,0.6818
