P,f
-51.556,0.62177
-54.637,0.62225
-66.35,0.62274
-58.49,0.62323
-55.011,0.62372
-68.102,0.62421
-61.402,0.62469
-55.279,0.62518
-52.978,0.62567
-52.773,0.62616
-49.568,0.62665
-50.346,0.62714
-48.023,0.62762
-49.504,0.62811
-47.067,0.6286
-45.176,0.62909
-62.785,0.62958
-51.986,0.63006
-50.128,0.63055
-49.154,0.63104
-48.539,0.63153
-49.947,0.63202
-54.375,0.6325
-43.651,0.63299
-42.727,0.63348
-47.068,0.63397
-57.966,0.63446
-48.616,0.63494
-50.037,0.63543
-69.07,0.63592
-72.322,0.63641
-57.066,0.6369
-59.529,0.63738
-52.57,0.63787
-47.224,0.63836
-47.339,0.63885
-56.425,0.63934
-52.658,0.63982
-60.243,0.64031
-51.208,0.6408
-48.281,0.64129
-51.189,0.64178
-56.874,0.64226
-48.189,0.64275
-50.702,0.64324
-44.842,0.64373
-45.173,0.64422
-46.887,0.6447
-47.536,0.64519
-54.2,0.64568
-52.727,0.64617
-52.989,0.64666
-68.082,0.64714
-56.619,0.64763
-54.784,0.64812
-52.887,0.64861
-52.807,0.6491
-47.655,0.64959
-54.602,0.65007
-51.864,0.65056
-53.427,0.65105
-49.409,0.65154
-49.734,0.65203
-47.576,0.65251
-49.831,0.653
-50.675,0.65349
-46.525,0.65398
-52.854,0.65447
-50.809,0.65495
-50.622,0.65544
-52.6,0.65593
-45.284,0.65642
-48.509,0.65691
-57.379,0.65739
-74.946,0.65788
-50.245,0.65837
-46.259,0.65886
-54.476,0.65935
-55.236,0.65983
-52.363,0.66032
-52.437,0.66081
-47.992,0.6613
-43.347,0.66179
-41.721,0.66227
-43.023,0.66276
-54.936,0.66325
-51.988,0.66374
-51.957,0.66423
-64.365,0.66471
-65.225,0.6652
-60.483,0.66569
-51.58,0.66618
-62.12,0.66667
-50.163,0.66715
-44.59,0.66764
-46.37,0.66813
-57.749,0.66862
-57.44,0.66911
-57.364,0.66959
-47.228,0.67008
-48.247,0.67057
-56.757,0.67106
-45.588,0.67155
-46.661,0.67204
-55.131,0.67252
-62.017,0.67301
-58.516,0.6735
-50.89,0.67399
-49.464,0.67448
-55.519,0.67496
-48.752,0.67545
-49.645,0.67594
-49.251,0.67643
-48.464,0.67692
-51.161,0.6774
-47.851,0.67789
-58.837,0.67838
-56.884,0.67887
-42.23,0.67936
-40.631,0.67984
-53.483,0.68033
-47.583,0.68082
-44.694,0.68131
-45.286,0.6818
