abs(H),F
0.91043,8.9e+05
0.90569,8.91e+05
0.90192,8.92e+05
0.89915,8.93e+05
0.89739,8.94e+05
0.89666,8.95e+05
0.89695,8.96e+05
0.89827,8.97e+05
0.90058,8.98e+05
0.90385,8.99e+05
0.90806,9e+05
0.91315,9.01e+05
0.91908,9.02e+05
0.92577,9.03e+05
0.93316,9.04e+05
0.94118,9.05e+05
0.94975,9.06e+05
0.95878,9.07e+05
0.96818,9.08e+05
0.97786,9.09e+05
0.98774,9.1e+05
0.99772,9.11e+05
1.0077,9.12e+05
1.0176,9.13e+05
1.0273,9.14e+05
1.0367,9.15e+05
1.0458,9.16e+05
1.0545,9.17e+05
1.0626,9.18e+05
1.0702,9.19e+05
1.0771,9.2e+05
1.0832,9.21e+05
1.0887,9.22e+05
1.0933,9.23e+05
1.0971,9.24e+05
1.1,9.25e+05
1.102,9.26e+05
1.1031,9.27e+05
1.1032,9.28e+05
1.1025,9.29e+05
1.1009,9.3e+05
1.0984,9.31e+05
1.095,9.32e+05
1.0908,9.33e+05
1.0859,9.34e+05
1.0802,9.35e+05
1.0738,9.36e+05
1.0668,9.37e+05
1.0593,9.38e+05
1.0512,9.39e+05
1.0428,9.4e+05
1.034,9.41e+05
1.0249,9.42e+05
1.0156,9.43e+05
1.0063,9.44e+05
0.99686,9.45e+05
0.9875,9.46e+05
0.97826,9.47e+05
0.96921,9.48e+05
0.96044,9.49e+05
0.952,9.5e+05
0.94397,9.51e+05
0.93641,9.52e+05
0.92937,9.53e+05
0.92292,9.54e+05
0.91709,9.55e+05
0.91193,9.56e+05
0.90748,9.57e+05
0.90376,9.58e+05
0.90081,9.59e+05
0.89863,9.6e+05
0.89725,9.61e+05
0.89667,9.62e+05
0.89689,9.63e+05
0.8979,9.64e+05
0.89969,9.65e+05
0.90223,9.66e+05
0.90552,9.67e+05
0.90952,9.68e+05
0.91419,9.69e+05
0.91949,9.7e+05
0.92539,9.71e+05
0.93184,9.72e+05
0.93878,9.73e+05
0.94616,9.74e+05
0.95392,9.75e+05
0.96202,9.76e+05
0.97037,9.77e+05
0.97893,9.78e+05
0.98763,9.79e+05
0.99641,9.8e+05
1.0052,9.81e+05
1.0139,9.82e+05
1.0226,9.83e+05
1.031,9.84e+05
1.0392,9.85e+05
1.0472,9.86e+05
1.0548,9.87e+05
1.0619,9.88e+05
