abs(H),F
0.00087333,6.09e+05
0.00085646,6.1e+05
0.00083584,6.11e+05
0.00081156,6.12e+05
0.00078375,6.13e+05
0.00075252,6.14e+05
0.00071802,6.15e+05
0.0006804,6.16e+05
0.00063983,6.17e+05
0.0005965,6.18e+05
0.00055058,6.19e+05
0.0005023,6.2e+05
0.00045186,6.21e+05
0.00039948,6.22e+05
0.00034539,6.23e+05
0.00028984,6.24e+05
0.00023305,6.25e+05
0.00017529,6.26e+05
0.00011679,6.27e+05
5.7823e-05,6.28e+05
1.3676e-06,6.29e+05
6.0523e-05,6.3e+05
0.00011939,6.31e+05
0.00017771,6.32e+05
0.00023524,6.33e+05
0.00029173,6.34e+05
0.00034693,6.35e+05
0.00040062,6.36e+05
0.00045257,6.37e+05
0.00050255,6.38e+05
0.00055035,6.39e+05
0.00059577,6.4e+05
0.00063862,6.41e+05
0.00067871,6.42e+05
0.00071589,6.43e+05
0.00074999,6.44e+05
0.00078087,6.45e+05
0.00080841,6.46e+05
0.00083249,6.47e+05
0.00085301,6.48e+05
0.00086988,6.49e+05
0.00088305,6.5e+05
0.00089245,6.51e+05
0.00089806,6.52e+05
0.00089984,6.53e+05
0.00089781,6.54e+05
0.00089196,6.55e+05
0.00088234,6.56e+05
0.00086897,6.57e+05
0.00085193,6.58e+05
0.00083129,6.59e+05
0.00080713,6.6e+05
0.00077957,6.61e+05
0.00074872,6.62e+05
0.00071472,6.63e+05
0.0006777,6.64e+05
0.00063784,6.65e+05
0.0005953,6.66e+05
0.00055026,6.67e+05
0.00050291,6.68e+05
0.00045346,6.69e+05
0.00040211,6.7e+05
0.00034907,6.71e+05
0.00029458,6.72e+05
0.00023887,6.73e+05
0.00018216,6.74e+05
0.00012469,6.75e+05
6.6706e-05,6.76e+05
8.451e-06,6.77e+05
4.9833e-05,6.78e+05
0.0001079,6.79e+05
0.00016551,6.8e+05
0.00022243,6.81e+05
0.00027842,6.82e+05
0.00033324,6.83e+05
0.00038666,6.84e+05
0.00043848,6.85e+05
0.00048846,6.86e+05
0.00053641,6.87e+05
0.00058214,6.88e+05
0.00062544,6.89e+05
0.00066614,6.9e+05
0.00070408,6.91e+05
0.0007391,6.92e+05
0.00077106,6.93e+05
0.00079982,6.94e+05
0.00082527,6.95e+05
0.00084731,6.96e+05
0.00086585,6.97e+05
0.00088082,6.98e+05
0.00089215,6.99e+05
0.0008998,7e+05
0.00090374,7.01e+05
0.00090396,7.02e+05
0.00090046,7.03e+05
0.00089325,7.04e+05
0.00088238,7.05e+05
0.00086788,7.06e+05
0.00084981,7.07e+05
0.00082826,7.08e+05
0.00080332,7.09e+05
0.00077509,7.1e+05
0.00074368,7.11e+05
0.00070923,7.12e+05
0.00067189,7.13e+05
0.0006318,7.14e+05
0.00058913,7.15e+05
0.00054407,7.16e+05
0.00049679,7.17e+05
0.00044749,7.18e+05
0.00039637,7.19e+05
0.00034365,7.2e+05
0.00028954,7.21e+05
0.00023427,7.22e+05
0.00017805,7.23e+05
0.00012112,7.24e+05
6.3721e-05,7.25e+05
6.0761e-06,7.26e+05
5.1575e-05,7.27e+05
0.000109,7.28e+05
0.00016596,7.29e+05
0.00022222,7.3e+05
0.00027756,7.31e+05
0.00033175,7.32e+05
0.00038458,7.33e+05
0.00043582,7.34e+05
0.00048526,7.35e+05
0.00053272,7.36e+05
0.00057799,7.37e+05
0.0006209,7.38e+05
0.00066127,7.39e+05
0.00069893,7.4e+05
0.00073374,7.41e+05
0.00076556,7.42e+05
0.00079425,7.43e+05
0.00081971,7.44e+05
0.00084184,7.45e+05
0.00086053,7.46e+05
0.00087573,7.47e+05
0.00088737,7.48e+05
0.0008954,7.49e+05
0.0008998,7.5e+05
0.00090055,7.51e+05
0.00089764,7.52e+05
0.00089109,7.53e+05
0.00088094,7.54e+05
0.00086722,7.55e+05
0.00084998,7.56e+05
0.00082931,7.57e+05
0.00080529,7.58e+05
0.00077801,7.59e+05
0.00074759,7.6e+05
0.00071415,7.61e+05
0.00067783,7.62e+05
0.00063878,7.63e+05
0.00059715,7.64e+05
0.00055311,7.65e+05
0.00050686,7.66e+05
0.00045856,7.67e+05
0.00040842,7.68e+05
0.00035664,7.69e+05
0.00030343,7.7e+05
0.000249,7.71e+05
0.00019359,7.72e+05
0.0001374,7.73e+05
8.0661e-05,7.74e+05
2.3611e-05,7.75e+05
3.3525e-05,7.76e+05
9.0517e-05,7.77e+05
0.00014713,7.78e+05
0.00020315,7.79e+05
0.00025834,7.8e+05
0.00031248,7.81e+05
0.00036536,7.82e+05
0.00041676,7.83e+05
0.00046648,7.84e+05
0.00051431,7.85e+05
0.00056007,7.86e+05
0.00060357,7.87e+05
0.00064464,7.88e+05
0.00068312,7.89e+05
0.00071885,7.9e+05
0.00075168,7.91e+05
0.0007815,7.92e+05
0.00080818,7.93e+05
0.00083161,7.94e+05
0.0008517,7.95e+05
0.00086838,7.96e+05
0.00088157,7.97e+05
0.00089123,7.98e+05
0.00089731,7.99e+05
0.0008998,8e+05
0.00089868,8.01e+05
0.00089397,8.02e+05
0.00088568,8.03e+05
0.00087384,8.04e+05
0.0008585,8.05e+05
0.00083974,8.06e+05
0.00081761,8.07e+05
0.00079222,8.08e+05
0.00076367,8.09e+05
0.00073206,8.1e+05
0.00069753,8.11e+05
0.00066022,8.12e+05
0.00062027,8.13e+05
0.00057785,8.14e+05
0.00053312,8.15e+05
0.00048628,8.16e+05
0.00043749,8.17e+05
0.00038696,8.18e+05
0.0003349,8.19e+05
0.0002815,8.2e+05
0.00022698,8.21e+05
0.00017157,8.22e+05
0.00011547,8.23e+05
5.8922e-05,8.24e+05
2.1426e-06,8.25e+05
5.464e-05,8.26e+05
0.0001112,8.27e+05
0.00016731,8.28e+05
0.00022275,8.29e+05
0.0002773,8.3e+05
0.00033074,8.31e+05
0.00038286,8.32e+05
0.00043345,8.33e+05
0.00048231,8.34e+05
0.00052924,8.35e+05
0.00057407,8.36e+05
0.00061661,8.37e+05
0.00065669,8.38e+05
0.00069416,8.39e+05
0.00072887,8.4e+05
0.00076067,8.41e+05
0.00078945,8.42e+05
0.00081508,8.43e+05
0.00083748,8.44e+05
0.00085655,8.45e+05
0.00087221,8.46e+05
0.00088441,8.47e+05
0.00089309,8.48e+05
0.00089823,8.49e+05
0.0008998,8.5e+05
0.0008978,8.51e+05
0.00089223,8.52e+05
0.00088312,8.53e+05
0.00087051,8.54e+05
0.00085445,8.55e+05
0.000835,8.56e+05
0.00081223,8.57e+05
0.00078625,8.58e+05
0.00075715,8.59e+05
0.00072505,8.6e+05
0.00069008,8.61e+05
0.00065238,8.62e+05
0.00061209,8.63e+05
0.00056938,8.64e+05
0.00052442,8.65e+05
0.00047738,8.66e+05
0.00042845,8.67e+05
0.00037783,8.68e+05
0.00032571,8.69e+05
0.00027231,8.7e+05
0.00021783,8.71e+05
0.0001625,8.72e+05
0.00010652,8.73e+05
5.0127e-05,8.74e+05
6.4624e-06,8.75e+05
6.3023e-05,8.76e+05
0.00011933,8.77e+05
0.00017516,8.78e+05
0.0002303,8.79e+05
0.00028453,8.8e+05
0.00033762,8.81e+05
0.00038938,8.82e+05
0.00043959,8.83e+05
0.00048807,8.84e+05
0.00053461,8.85e+05
0.00057904,8.86e+05
0.00062117,8.87e+05
0.00066085,8.88e+05
0.00069792,8.89e+05
0.00073222,8.9e+05
0.00076363,8.91e+05
0.00079203,8.92e+05
0.00081729,8.93e+05
0.00083932,8.94e+05
0.00085804,8.95e+05
0.00087337,8.96e+05
0.00088525,8.97e+05
0.00089363,8.98e+05
0.00089849,8.99e+05
0.0008998,9e+05
0.00089756,9.01e+05
0.00089177,9.02e+05
0.00088246,9.03e+05
0.00086968,9.04e+05
0.00085346,9.05e+05
0.00083388,9.06e+05
0.000811,9.07e+05
0.00078493,9.08e+05
0.00075576,9.09e+05
0.00072361,9.1e+05
0.00068861,9.11e+05
