f,xrms,xmean,xsnr
1398,0.018111,-0.018111,-2.7277
1399,0.018067,-0.018067,5.0802
14,0.61187,-0.01715,77.723
140,0.61718,-0.017806,79.364
1400,0.018077,-0.018075,10.101
1401,0.018077,-0.018074,13.414
1402,0.01803,-0.018026,16.083
1403,0.018104,-0.018099,16.509
1404,0.018059,-0.018053,18.649
1405,0.018054,-0.018047,18.589
1406,0.018046,-0.018037,18.682
1407,0.018052,-0.018043,18.888
1408,0.018056,-0.018047,19.311
1409,0.018121,-0.018113,19.487
141,0.61733,-0.017958,79.617
1410,0.018106,-0.018099,19.176
1411,0.018071,-0.018065,17.047
1412,0.018051,-0.018047,16.965
1413,0.018074,-0.018071,14.793
1414,0.018117,-0.018115,12.532
1415,0.018067,-0.018067,8.2854
1416,0.018051,-0.018051,2.9599
1417,0.018058,-0.018058,-1.6596
1418,0.018061,-0.018061,4.6764
1419,0.018046,-0.018045,9.4987
142,0.61744,-0.018055,79.928
1420,0.018044,-0.018042,12.774
1421,0.018059,-0.018056,14.944
1422,0.018058,-0.018053,15.9
1423,0.018043,-0.018037,17.001
1424,0.018063,-0.018056,18.224
1425,0.018106,-0.018098,17.909
1426,0.018129,-0.018121,19.629
1427,0.01807,-0.018062,18.301
1428,0.018056,-0.018049,18.288
1429,0.01806,-0.018054,18.313
143,0.61754,-0.018181,79.529
1430,0.018042,-0.018036,17.657
1431,0.018041,-0.018037,16.215
1432,0.018053,-0.018051,14.092
1433,0.018047,-0.018045,12.711
1434,0.018078,-0.018078,8.5366
1435,0.018078,-0.018078,-0.069076
1436,0.018069,-0.018069,-4.5083
1437,0.018081,-0.018081,6.2955
1438,0.018071,-0.018069,10.568
1439,0.018127,-0.018125,13.924
144,0.61751,-0.018182,79.54
1440,0.018101,-0.018097,15.553
1441,0.018104,-0.018099,18.203
1442,0.018122,-0.018115,18.542
1443,0.018137,-0.018129,18.646
1444,0.018105,-0.018097,18.873
1445,0.018086,-0.018077,19.265
1446,0.018102,-0.018093,19.798
1447,0.018115,-0.018106,19.772
1448,0.018074,-0.018066,18.711
1449,0.018099,-0.018092,17.794
145,0.61747,-0.01801,79.664
1450,0.018108,-0.018103,17.241
1451,0.018091,-0.018087,15.918
1452,0.018117,-0.018115,13.917
1453,0.018054,-0.018052,10.381
1454,0.018071,-0.018071,4.891
1455,0.018104,-0.018104,-3.7552
1456,0.01808,-0.01808,2.6788
1457,0.018114,-0.018114,10.005
1458,0.018082,-0.01808,12.465
1459,0.018107,-0.018103,15.484
146,0.61735,-0.018045,80.181
1460,0.018123,-0.018118,15.975
1461,0.018076,-0.01807,18.157
1462,0.018104,-0.018097,17.836
1463,0.018096,-0.018088,18.072
1464,0.018128,-0.018119,19.45
1465,0.018087,-0.018078,19.562
1466,0.018075,-0.018067,19.372
1467,0.018058,-0.01805,18.767
1468,0.018073,-0.018067,17.518
1469,0.018074,-0.018069,17.265
147,0.61723,-0.018091,78.83
1470,0.018134,-0.01813,15.789
1471,0.018104,-0.018102,13.935
1472,0.01809,-0.018088,11.424
1473,0.018077,-0.018077,5.8742
1474,0.018101,-0.018101,-3.5355
1475,0.018107,-0.018107,-1.6644
1476,0.018032,-0.018032,7.3065
1477,0.018057,-0.018055,11.221
1478,0.01809,-0.018087,14.915
1479,0.018081,-0.018077,16.385
148,0.61703,-0.018145,79.057
1480,0.018022,-0.018016,17.647
